"FAF3203",NULL,NULL
"MH2038",NULL,NULL
"ML1610",NULL,NULL
"SK2758",NULL,NULL
"MJ1530",NULL,NULL
"CK201U",NULL,NULL
"MF2090",NULL,NULL
"MH1018","<p>Grundkurs i mekanik, t.ex.&#160;SG1120 Mekanik I</p><p>Grundkurs i termodynamik, t.ex.&#160;MH1027&#160;Materials Termodynamik&#160;</p><p>Grundkurs i differentialekvationer, t.ex.&#160;SF1633 Differentialekvationer I</p>","<p>Basic course in mechanics, e.g. SG1120 Mechanics I</p><p>Basic course in thermodynamics, e.g. MH1027 Thermodynamics of Materials</p><p>Basic course in differential equations, e.g. SF1633 Differential Equations I</p>"
"FDD3026","<p>Mastersniv&#229; i fysik eller matematik eller elektoteknik. Om fr&#229;n KTH, MSc i teknisk fysik, elektrotenik, eller motsvarande. Studenter fr&#229;n datalogi kan f&#246;lja kursen om de har motsvarande f&#246;rkunskaper i matematik.</p>","<p>&#160;MSc in physics or mathematics or electrical engineering MSc at KTH in engineering physics, electrical enginnering, or equivalent. Students with KTH MSc in computer science background are admitted if having corresponding mathematical background.</p>"
"FMF3036",NULL,NULL
"MJ2146",NULL,NULL
"SF1662",NULL,NULL
"ML1501",NULL,NULL
"HI1900",NULL,NULL
"MJ1103",NULL,NULL
"FAI3001",NULL,NULL
"MH201X",NULL,NULL
"FID3215","<p>Ingen</p>","<p>None</p>"
"ML1502",NULL,NULL
"FDH3363",NULL,NULL
"AE2603","<p>Programkurser i &#229;rskurs 1,2 och 3&#160; obligatoriska f&#246;r inriktningarna AP resp NRT inom Samh&#228;llsbyggnad&#160;&#160;</p>",NULL
"AI106V",NULL,NULL
"FAI3002",NULL,NULL
"FAI3004",NULL,NULL
"MH2302",NULL,NULL
"AI107V",NULL,NULL
"FAE3014","<p>Kursexamination best&#229;r av dokumentering av arbetet, och nedlagd tid f&#246;r att slutf&#246;ra kursarbetet.</p><p>Kursen inneb&#228;r ett minimum av 40 timmars arbetstid f&#246;r 1,5 ECTS.</p><p>Studenten ska l&#228;mna in en skriftlig utv&#228;rdering av tidigare finansieringsans&#246;kan med en diskussion om kvaliteten p&#229; ans&#246;kan.</p><p>Studenten ska l&#228;mna in en kopia p&#229; ans&#246;kningar de har hj&#228;lp till med att skriva tillsammans med en diskussion om resultatet fr&#229;n ans&#246;kan, blev ans&#246;kan beviljad eller inte - vad var de huvudsakliga sk&#228;len.</p><p>Examinatorerna &#228;r programansvarig och bitr&#228;dande programansvarig f&#246;r dr program i Mark- och Vattenteknik.&#160;</p>","<p>The course examination requies documentation of the work done in the course, and the time spent completing the course work. The course is worth 1.5 ECTS thus this should require at least 40 hours of work. The students are to submit a written evaluation of the previous applications for funding with a discussion about the quality of the application. They are to submit a copy of the application they have helped write and a discussion about the outcome of the application, if funding was granted or not - what was the main reasons.</p><p>Examiners of the course is the director and co director of the Dr program in Land and Water Resources Engineering.&#160;</p><p>*lectures may be replaced by selected literature.</p>"
"FAI3007",NULL,NULL
"FAI3006","",""
"FDD3006",NULL,NULL
"AI108V",NULL,NULL
"FDD3007","<p>Neurovetenskap eller kognitionsvetenskap om minst 7,5 hp eller motsvarande.</p>","<p>Neuroscience or cognitive neuroscience of a minimum of 7,5 credits or equivalent.</p>"
"FAE3007",NULL,NULL
"ML1505",NULL,NULL
"SH2103",NULL,NULL
"ML150X",NULL,NULL
"FME3553",NULL,NULL
"AL2161",NULL,NULL
"FAL3302",NULL,NULL
"ML160X",NULL,NULL
"ML1615",NULL,NULL
"ML1617",NULL,NULL
"ML1906",NULL,NULL
"AG222X",NULL,NULL
"FDD3260","<p>&#160;Grundl&#228;ggande kunskaper i Linux-kommandon, C/C++ eller Fortran kr&#228;vs.</p>","<p>&#160;Basic knowledge of Linux commands, C/C++, or Fortran languages is required.</p>"
"AI2126","<p>Advanced Issues in Real Estate Economics. It will be preferable if students have already used this course to identify and review an issue they want to research on.</p>","<p>Advanced Issues in Real Estate Economics. It will be preferable if students have already used this course to identify and review an issue they want to research on.</p>"
"FAF3501",NULL,NULL
"FME3554",NULL,NULL
"AK2212",NULL,NULL
"MF2103",NULL,NULL
"FDD3270","<p>Grundl&#228;ggande kunskaper om Matlab och Python programmering</p>","<p>Basic knowledge of Matlab and Python programming</p>"
"FAG3109",NULL,NULL
"MJ2420",NULL,NULL
"FAF3416",NULL,NULL
"DM2579",NULL,NULL
"FDD3008","<p>The course does not have formal prerequisites. Target audience is first or second year postgraduate students in computer science. Postgraduate students in other subjects are welcome to attend. Familiarity with algorithms and their theory, basic probability theory, and basic mathematical discourse in cs, and programming experience will be very useful. We assume a level corresponding to the required courses of the KTH D and/or F programs.</p>","<p>The course does not have formal prerequisites. Target audience is first or second year postgraduate students in computer science. Postgraduate students in other subjects are welcome to attend. Familiarity with algorithms and their theory, basic probability theory, and basic mathematical discourse in cs, and programming experience will be very useful. We assume a level corresponding to the required courses of the KTH D and/or F programs.</p>"
"MJ239X",NULL,NULL
"AK123V",NULL,NULL
"AF2212",NULL,NULL
"FDD3009",NULL,NULL
"SF1547","<p>SF1624&#160;Algebra och geometri</p>","<p>SF1624 Algebra and Geometry</p>"
"FDD3280","<p>Kunskap om linj&#228;r algebra, Python eller Matlab kr&#228;vs.</p>","<p>Knowledge of linear algebra, Python, or Matlab is required.</p>"
"FAF3305",NULL,NULL
"FAF3415",NULL,NULL
